"generation","p_c","p_b","p_bh","p_f","p_mono","p_polyg","p_polya","RS_mono","RS_poly","run"
1,0.54,0.566666666666667,0.54,0.433333333333333,0.506666666666667,0.0470588235294118,0.0461538461538462,2.4320987654321,1.49275362318841,"1"
2,0.666666666666667,0.72,0.726666666666667,0.433333333333333,0.466666666666667,0.0470588235294118,0.0923076923076923,2.07339449541284,1.80487804878049,"1"
3,0.706666666666667,0.753333333333333,0.713333333333333,0.546666666666667,0.493333333333333,0.0441176470588235,0.0121951219512195,2.2803738317757,1.30232558139535,"1"
4,0.786666666666667,0.806666666666667,0.826666666666667,0.506666666666667,0.426666666666667,0.027027027027027,0.0131578947368421,2.01612903225806,1.92307692307692,"1"
5,0.726666666666667,0.866666666666667,0.846666666666667,0.513333333333333,0.426666666666667,0.0273972602739726,0.038961038961039,2.02362204724409,1.8695652173913,"1"
6,0.7,0.913333333333333,0.793333333333333,0.453333333333333,0.493333333333333,0.0121951219512195,0.0294117647058824,2.05042016806723,1.80645161290323,"1"
7,0.793333333333333,0.933333333333333,0.893333333333333,0.526666666666667,0.453333333333333,0,0.0126582278481013,2.02985074626866,1.75,"1"
8,0.82,0.92,0.873333333333333,0.466666666666667,0.493333333333333,0,0,2.11450381679389,1.21052631578947,"1"
9,0.793333333333333,0.96,0.9,0.52,0.426666666666667,0.0138888888888889,0,2.08148148148148,1.26666666666667,"1"
10,0.846666666666667,0.986666666666667,0.913333333333333,0.526666666666667,0.453333333333333,0.028169014084507,0,2.1021897810219,0.923076923076923,"1"
11,0.913333333333333,0.986666666666667,0.926666666666667,0.493333333333333,0.493333333333333,0,0,2.07194244604317,1.09090909090909,"1"
12,0.96,1,0.966666666666667,0.453333333333333,0.426666666666667,0,0,1.99310344827586,2.2,"1"
13,0.96,1,0.98,0.56,0.466666666666667,0,0,2.04081632653061,0,"1"
14,0.966666666666667,1,0.98,0.466666666666667,0.426666666666667,0.0125,0,2.02040816326531,1,"1"
15,0.973333333333333,1,0.986666666666667,0.533333333333333,0.493333333333333,0,0,2,2,"1"
16,0.966666666666667,1,0.98,0.566666666666667,0.44,0.0153846153846154,0,1.96598639455782,3.66666666666667,"1"
17,0.94,1,0.973333333333333,0.466666666666667,0.493333333333333,0,0.0142857142857143,1.93150684931507,4.5,"1"
18,0.9,1,0.94,0.46,0.453333333333333,0,0.0144927536231884,2.0354609929078,1.44444444444444,"1"
19,0.893333333333333,1,0.946666666666667,0.486666666666667,0.44,0,0.0136986301369863,1.99295774647887,2.125,"1"
20,0.893333333333333,1,0.933333333333333,0.54,0.44,0,0.0123456790123457,2.02857142857143,1.6,"1"
21,0.906666666666667,1,0.946666666666667,0.44,0.44,0,0,2.08450704225352,0.5,"1"
