"generation","p_c","p_b","p_bh","p_f","p_mono","p_polyg","p_polya","RS_mono","RS_poly","run"
36,0,0.0333333333333333,0.02,0.546666666666667,0.453333333333333,0.294117647058824,0.25609756097561,1.33333333333333,2.01360544217687,"1"
37,0,0.0133333333333333,0.00666666666666667,0.486666666666667,0.413333333333333,0.337662337662338,0.315068493150685,1,2.00671140939597,"1"
38,0,0.00666666666666667,0,0.493333333333333,0.493333333333333,0.236842105263158,0.202702702702703,NA,2,"1"
39,0,0.0133333333333333,0,0.506666666666667,0.44,0.310810810810811,0.236842105263158,NA,2,"1"
40,0,0.0266666666666667,0.00666666666666667,0.52,0.453333333333333,0.291666666666667,0.320512820512821,0,2.01342281879195,"1"
41,0,0,0,0.553333333333333,0.453333333333333,0.358208955223881,0.265060240963855,NA,2,"1"
42,0,0,0,0.4,0.426666666666667,0.166666666666667,0.383333333333333,NA,2,"1"
43,0,0,0,0.486666666666667,0.48,0.220779220779221,0.273972602739726,NA,2,"1"
44,0,0,0,0.526666666666667,0.546666666666667,0.211267605633803,0.177215189873418,NA,2,"1"
45,0,0,0,0.433333333333333,0.386666666666667,0.188235294117647,0.446153846153846,NA,2,"1"
46,0,0,0,0.533333333333333,0.373333333333333,0.371428571428571,0.2625,NA,2,"1"
47,0,0,0,0.48,0.4,0.243589743589744,0.347222222222222,NA,2,"1"
48,0,0,0,0.426666666666667,0.4,0.232558139534884,0.5,NA,2,"1"
49,0,0,0,0.453333333333333,0.426666666666667,0.25609756097561,0.367647058823529,NA,2,"1"
50,0,0,0,0.46,0.48,0.222222222222222,0.318840579710145,NA,2,"1"
51,0,0,0,0.513333333333333,0.413333333333333,0.315068493150685,0.272727272727273,NA,2,"1"
52,0,0,0,0.546666666666667,0.506666666666667,0.279411764705882,0.207317073170732,NA,2,"1"
53,0,0,0,0.6,0.44,0.35,0.2,NA,2,"1"
54,0,0,0,0.486666666666667,0.466666666666667,0.298701298701299,0.315068493150685,NA,2,"1"
55,0,0,0,0.48,0.48,0.230769230769231,0.319444444444444,NA,2,"1"
56,0,0,0,0.506666666666667,0.426666666666667,0.297297297297297,0.276315789473684,NA,2,"1"
57,0,0,0,0.493333333333333,0.44,0.315789473684211,0.297297297297297,NA,2,"1"
58,0,0,0,0.52,0.48,0.236111111111111,0.230769230769231,NA,2,"1"
59,0,0,0,0.466666666666667,0.44,0.175,0.257142857142857,NA,2,"1"
60,0,0,0,0.433333333333333,0.48,0.164705882352941,0.353846153846154,NA,2,"1"
61,0,0,0,0.506666666666667,0.413333333333333,0.283783783783784,0.302631578947368,NA,2,"1"
62,0,0,0,0.5,0.48,0.24,0.24,NA,2,"1"
63,0,0,0,0.493333333333333,0.466666666666667,0.25,0.297297297297297,NA,2,"1"
64,0,0,0,0.46,0.426666666666667,0.283950617283951,0.36231884057971,NA,2,"1"
65,0,0,0,0.473333333333333,0.413333333333333,0.329113924050633,0.422535211267606,NA,2,"1"
66,0,0,0,0.553333333333333,0.533333333333333,0.283582089552239,0.168674698795181,NA,2,"1"
67,0,0,0,0.453333333333333,0.413333333333333,0.219512195121951,0.352941176470588,NA,2,"1"
68,0,0,0,0.453333333333333,0.453333333333333,0.195121951219512,0.338235294117647,NA,2,"1"
69,0,0,0,0.493333333333333,0.493333333333333,0.263157894736842,0.216216216216216,NA,2,"1"
70,0,0,0,0.573333333333333,0.48,0.375,0.174418604651163,NA,2,"1"
71,0,0,0,0.446666666666667,0.466666666666667,0.192771084337349,0.358208955223881,NA,2,"1"
72,0,0,0,0.56,0.493333333333333,0.439393939393939,0.226190476190476,NA,2,"1"
73,0,0,0,0.446666666666667,0.466666666666667,0.265060240963855,0.358208955223881,NA,2,"1"
74,0,0,0,0.426666666666667,0.453333333333333,0.244186046511628,0.375,NA,2,"1"
75,0,0,0,0.493333333333333,0.493333333333333,0.236842105263158,0.256756756756757,NA,2,"1"
76,0,0,0,0.533333333333333,0.44,0.328571428571429,0.225,NA,2,"1"
77,0,0,0,0.52,0.506666666666667,0.319444444444444,0.269230769230769,NA,2,"1"
78,0,0,0,0.513333333333333,0.413333333333333,0.36986301369863,0.350649350649351,NA,2,"1"
79,0,0,0,0.546666666666667,0.493333333333333,0.323529411764706,0.170731707317073,NA,2,"1"
80,0,0,0,0.52,0.48,0.277777777777778,0.205128205128205,NA,2,"1"
81,0,0,0,0.54,0.453333333333333,0.318840579710145,0.222222222222222,NA,2,"1"
82,0,0,0,0.526666666666667,0.453333333333333,0.338028169014085,0.20253164556962,NA,2,"1"
83,0,0,0,0.513333333333333,0.466666666666667,0.273972602739726,0.25974025974026,NA,2,"1"
84,0,0,0,0.573333333333333,0.466666666666667,0.484375,0.197674418604651,NA,2,"1"
85,0,0,0,0.473333333333333,0.386666666666667,0.265822784810127,0.338028169014085,NA,2,"1"
86,0,0,0,0.54,0.52,0.260869565217391,0.197530864197531,NA,2,"1"
87,0,0,0,0.473333333333333,0.506666666666667,0.20253164556962,0.253521126760563,NA,2,"1"
88,0,0,0,0.486666666666667,0.44,0.285714285714286,0.342465753424658,NA,2,"1"
89,0,0,0,0.526666666666667,0.413333333333333,0.28169014084507,0.215189873417722,NA,2,"1"
90,0,0,0,0.48,0.4,0.256410256410256,0.25,NA,2,"1"
91,0,0,0,0.473333333333333,0.4,0.291139240506329,0.380281690140845,NA,2,"1"
92,0,0,0,0.5,0.493333333333333,0.266666666666667,0.226666666666667,NA,2,"1"
93,0,0,0,0.5,0.48,0.28,0.293333333333333,NA,2,"1"
94,0,0,0,0.486666666666667,0.4,0.298701298701299,0.328767123287671,NA,2,"1"
95,0,0,0,0.526666666666667,0.413333333333333,0.338028169014085,0.227848101265823,NA,2,"1"
96,0,0,0,0.526666666666667,0.44,0.366197183098592,0.341772151898734,NA,2,"1"
97,0,0,0,0.486666666666667,0.413333333333333,0.25974025974026,0.342465753424658,NA,2,"1"
98,0,0,0,0.56,0.44,0.348484848484849,0.25,NA,2,"1"
99,0,0,0,0.5,0.413333333333333,0.24,0.266666666666667,NA,2,"1"
100,0,0,0,0.473333333333333,0.44,0.227848101265823,0.28169014084507,NA,2,"1"
101,0,0,0,0.56,0.466666666666667,0.393939393939394,0.214285714285714,NA,2,"1"
