"generation","p_c","p_b","p_bh","p_f","p_mono","p_polyg","p_polya","RS_mono","RS_poly","run"
1,0.5,0.453333333333333,0.466666666666667,0.493333333333333,0.466666666666667,0.0657894736842105,0.121621621621622,2.15714285714286,1.8625,"1"
2,0.56,0.406666666666667,0.533333333333333,0.513333333333333,0.44,0.0958904109589041,0.0649350649350649,2.225,1.74285714285714,"1"
3,0.58,0.406666666666667,0.506666666666667,0.46,0.506666666666667,0.0493827160493827,0.072463768115942,2.31578947368421,1.67567567567568,"1"
4,0.74,0.5,0.626666666666667,0.466666666666667,0.506666666666667,0.0375,0,2.20212765957447,1.66071428571429,"1"
5,0.786666666666667,0.526666666666667,0.646666666666667,0.506666666666667,0.426666666666667,0.027027027027027,0.0131578947368421,2.51546391752577,1.05660377358491,"1"
6,0.826666666666667,0.62,0.74,0.52,0.44,0.0138888888888889,0,2.0990990990991,1.71794871794872,"1"
7,0.873333333333333,0.626666666666667,0.733333333333333,0.566666666666667,0.386666666666667,0,0.0235294117647059,2.19090909090909,1.475,"1"
8,0.813333333333333,0.646666666666667,0.713333333333333,0.5,0.506666666666667,0.04,0.04,2.13084112149533,1.67441860465116,"1"
9,0.866666666666667,0.693333333333333,0.753333333333333,0.533333333333333,0.4,0.0142857142857143,0,2.08849557522124,1.72972972972973,"1"
10,0.906666666666667,0.693333333333333,0.786666666666667,0.466666666666667,0.48,0,0.0571428571428571,2.14406779661017,1.46875,"1"
11,0.933333333333333,0.726666666666667,0.793333333333333,0.433333333333333,0.44,0.0117647058823529,0.0153846153846154,2.12605042016807,1.51612903225806,"1"
12,0.953333333333333,0.826666666666667,0.913333333333333,0.526666666666667,0.36,0,0.0126582278481013,2.1021897810219,0.923076923076923,"1"
13,0.906666666666667,0.826666666666667,0.873333333333333,0.44,0.413333333333333,0,0.0303030303030303,2.03053435114504,1.78947368421053,"1"
14,0.94,0.886666666666667,0.9,0.5,0.48,0.0266666666666667,0.04,1.92592592592593,2.66666666666667,"1"
15,0.86,0.96,0.906666666666667,0.5,0.506666666666667,0,0,2.00735294117647,1.92857142857143,"1"
16,0.886666666666667,0.96,0.906666666666667,0.46,0.413333333333333,0.0123456790123457,0.0144927536231884,2.00735294117647,1.92857142857143,"1"
17,0.926666666666667,0.98,0.946666666666667,0.573333333333333,0.413333333333333,0,0,2.04929577464789,1.125,"1"
18,0.933333333333333,0.96,0.953333333333333,0.533333333333333,0.413333333333333,0,0,2.00699300699301,1.85714285714286,"1"
19,0.933333333333333,0.953333333333333,0.946666666666667,0.533333333333333,0.386666666666667,0,0,2.08450704225352,0.5,"1"
20,0.96,0.96,0.96,0.46,0.426666666666667,0,0.0144927536231884,1.97916666666667,2.5,"1"
21,0.96,0.953333333333333,0.953333333333333,0.506666666666667,0.386666666666667,0.0135135135135135,0,1.97902097902098,2.42857142857143,"1"
22,0.946666666666667,0.953333333333333,0.946666666666667,0.546666666666667,0.44,0,0,2.04225352112676,1.25,"1"
23,0.993333333333333,0.926666666666667,0.966666666666667,0.446666666666667,0.413333333333333,0,0,2.02758620689655,1.2,"1"
24,1,0.946666666666667,0.98,0.54,0.413333333333333,0,0,2.04081632653061,0,"1"
25,1,0.966666666666667,0.993333333333333,0.54,0.466666666666667,0,0,1.99328859060403,3,"1"
26,1,0.973333333333333,0.973333333333333,0.513333333333333,0.426666666666667,0,0.012987012987013,1.93150684931507,4.5,"1"
