"generation","p_c","p_b","p_bh","p_f","p_mono","p_polyg","p_polya","RS_mono","RS_poly","run"
1,0.473333333333333,0.546666666666667,0.506666666666667,0.473333333333333,0.613333333333333,0.0506329113924051,0.112676056338028,2.22368421052632,1.77027027027027,"1"
2,0.526666666666667,0.613333333333333,0.573333333333333,0.513333333333333,0.546666666666667,0.0958904109589041,0.038961038961039,2.2906976744186,1.609375,"1"
3,0.646666666666667,0.666666666666667,0.653333333333333,0.52,0.56,0.0694444444444444,0.0641025641025641,1.89795918367347,2.19230769230769,"1"
4,0.613333333333333,0.593333333333333,0.62,0.466666666666667,0.56,0.0875,0.0857142857142857,2.0752688172043,1.87719298245614,"1"
5,0.646666666666667,0.566666666666667,0.62,0.486666666666667,0.56,0.0649350649350649,0.0958904109589041,1.97849462365591,2.03508771929825,"1"
6,0.673333333333333,0.54,0.62,0.453333333333333,0.573333333333333,0.0731707317073171,0.0882352941176471,2.2258064516129,1.63157894736842,"1"
7,0.733333333333333,0.593333333333333,0.68,0.5,0.586666666666667,0.0666666666666667,0.04,2.17647058823529,1.625,"1"
8,0.78,0.553333333333333,0.706666666666667,0.48,0.56,0.0769230769230769,0.0555555555555556,2.0377358490566,1.90909090909091,"1"
9,0.84,0.473333333333333,0.64,0.5,0.52,0.106666666666667,0.08,1.91666666666667,2.14814814814815,"1"
10,0.873333333333333,0.48,0.673333333333333,0.48,0.573333333333333,0.0256410256410256,0.0833333333333333,2.06930693069307,1.85714285714286,"1"
11,0.853333333333333,0.593333333333333,0.733333333333333,0.586666666666667,0.573333333333333,0.032258064516129,0.0113636363636364,2.20909090909091,1.425,"1"
12,0.926666666666667,0.56,0.706666666666667,0.52,0.56,0.0694444444444444,0.0897435897435897,1.99056603773585,2.02272727272727,"1"
13,0.92,0.573333333333333,0.766666666666667,0.566666666666667,0.56,0.0769230769230769,0,2.01739130434783,1.94285714285714,"1"
14,0.946666666666667,0.5,0.713333333333333,0.52,0.56,0.0694444444444444,0.0897435897435897,1.89719626168224,2.25581395348837,"1"
15,0.926666666666667,0.466666666666667,0.66,0.42,0.546666666666667,0.0574712643678161,0.142857142857143,1.94949494949495,2.09803921568627,"1"
16,0.92,0.426666666666667,0.673333333333333,0.46,0.52,0.111111111111111,0.130434782608696,1.89108910891089,2.22448979591837,"1"
17,0.92,0.42,0.673333333333333,0.473333333333333,0.6,0.0379746835443038,0.028169014084507,2.20792079207921,1.57142857142857,"1"
18,0.946666666666667,0.433333333333333,0.693333333333333,0.493333333333333,0.613333333333333,0.0657894736842105,0.135135135135135,1.76923076923077,2.52173913043478,"1"
19,0.96,0.333333333333333,0.686666666666667,0.46,0.533333333333333,0.037037037037037,0.0434782608695652,2.1747572815534,1.61702127659574,"1"
20,0.953333333333333,0.293333333333333,0.673333333333333,0.486666666666667,0.533333333333333,0.0649350649350649,0.0684931506849315,2.08910891089109,1.81632653061224,"1"
21,0.953333333333333,0.3,0.68,0.5,0.56,0.04,0.0133333333333333,2.17647058823529,1.625,"1"
22,0.933333333333333,0.346666666666667,0.713333333333333,0.386666666666667,0.613333333333333,0.0434782608695652,0.137931034482759,1.78504672897196,2.53488372093023,"1"
23,0.953333333333333,0.246666666666667,0.68,0.526666666666667,0.586666666666667,0.0985915492957746,0.0506329113924051,1.97058823529412,2.0625,"1"
24,0.966666666666667,0.246666666666667,0.686666666666667,0.453333333333333,0.586666666666667,0.0731707317073171,0.147058823529412,1.90291262135922,2.21276595744681,"1"
25,0.98,0.206666666666667,0.68,0.493333333333333,0.626666666666667,0.0394736842105263,0.0675675675675676,2.04901960784314,1.89583333333333,"1"
26,0.966666666666667,0.206666666666667,0.513333333333333,0.526666666666667,0.6,0.0704225352112676,0.0759493670886076,2.32467532467532,1.65753424657534,"1"
27,0.98,0.24,0.673333333333333,0.493333333333333,0.586666666666667,0.0526315789473684,0.0540540540540541,2.21782178217822,1.55102040816327,"1"
28,1,0.233333333333333,0.646666666666667,0.533333333333333,0.546666666666667,0.0571428571428571,0.0625,1.97938144329897,2.0377358490566,"1"
29,1,0.166666666666667,0.6,0.546666666666667,0.6,0.117647058823529,0.0487804878048781,2,2,"1"
30,1,0.206666666666667,0.633333333333333,0.446666666666667,0.56,0.036144578313253,0.119402985074627,2.08421052631579,1.85454545454545,"1"
31,1,0.233333333333333,0.666666666666667,0.46,0.64,0.037037037037037,0.0869565217391304,2.04,1.92,"1"
32,1,0.293333333333333,0.686666666666667,0.52,0.56,0.0555555555555556,0.0384615384615385,2.21359223300971,1.53191489361702,"1"
