"generation","p_c","p_b","p_bh","p_f","p_mono","p_polyg","p_polya","RS_mono","RS_poly","run"
1,0.546666666666667,0.466666666666667,0.493333333333333,0.493333333333333,0.6,0.105263157894737,0.135135135135135,2,2,"1"
2,0.506666666666667,0.486666666666667,0.426666666666667,0.393333333333333,0.573333333333333,0.0879120879120879,0.220338983050847,1.84375,2.11627906976744,"1"
3,0.446666666666667,0.426666666666667,0.44,0.48,0.573333333333333,0.115384615384615,0.152777777777778,1.71212121212121,2.22619047619048,"1"
4,0.446666666666667,0.3,0.366666666666667,0.533333333333333,0.546666666666667,0.157142857142857,0.1125,1.90909090909091,2.05263157894737,"1"
5,0.4,0.366666666666667,0.426666666666667,0.56,0.506666666666667,0.242424242424242,0.166666666666667,1.75,2.18604651162791,"1"
6,0.366666666666667,0.38,0.386666666666667,0.446666666666667,0.586666666666667,0.132530120481928,0.26865671641791,2.06896551724138,1.95652173913043,"1"
7,0.426666666666667,0.36,0.413333333333333,0.473333333333333,0.52,0.139240506329114,0.253521126760563,1.75806451612903,2.17045454545455,"1"
8,0.426666666666667,0.346666666666667,0.406666666666667,0.473333333333333,0.6,0.0886075949367089,0.140845070422535,2.14754098360656,1.89887640449438,"1"
9,0.466666666666667,0.34,0.433333333333333,0.533333333333333,0.506666666666667,0.185714285714286,0.15,1.78461538461538,2.16470588235294,"1"
10,0.453333333333333,0.326666666666667,0.373333333333333,0.5,0.533333333333333,0.213333333333333,0.173333333333333,1.82142857142857,2.1063829787234,"1"
11,0.473333333333333,0.266666666666667,0.306666666666667,0.506666666666667,0.52,0.175675675675676,0.210526315789474,1.80434782608696,2.08653846153846,"1"
12,0.42,0.253333333333333,0.36,0.566666666666667,0.56,0.230769230769231,0.0823529411764706,1.90740740740741,2.05208333333333,"1"
13,0.453333333333333,0.22,0.353333333333333,0.526666666666667,0.52,0.211267605633803,0.164556962025316,1.56603773584906,2.23711340206186,"1"
14,0.4,0.206666666666667,0.32,0.466666666666667,0.506666666666667,0.1875,0.242857142857143,1.91666666666667,2.03921568627451,"1"
15,0.406666666666667,0.18,0.32,0.446666666666667,0.546666666666667,0.132530120481928,0.164179104477612,2.25,1.88235294117647,"1"
16,0.433333333333333,0.213333333333333,0.333333333333333,0.56,0.506666666666667,0.227272727272727,0.119047619047619,1.86,2.07,"1"
17,0.393333333333333,0.24,0.3,0.473333333333333,0.546666666666667,0.151898734177215,0.154929577464789,1.97777777777778,2.00952380952381,"1"
18,0.4,0.26,0.293333333333333,0.526666666666667,0.506666666666667,0.225352112676056,0.177215189873418,1.90909090909091,2.0377358490566,"1"
19,0.4,0.313333333333333,0.36,0.48,0.493333333333333,0.166666666666667,0.180555555555556,1.83333333333333,2.09375,"1"
20,0.373333333333333,0.253333333333333,0.306666666666667,0.466666666666667,0.546666666666667,0.125,0.214285714285714,1.84782608695652,2.06730769230769,"1"
21,0.366666666666667,0.2,0.313333333333333,0.466666666666667,0.453333333333333,0.1875,0.3,1.97872340425532,2.00970873786408,"1"
22,0.406666666666667,0.173333333333333,0.273333333333333,0.486666666666667,0.546666666666667,0.155844155844156,0.246575342465753,2.02439024390244,1.99082568807339,"1"
23,0.453333333333333,0.16,0.293333333333333,0.466666666666667,0.52,0.1875,0.271428571428571,1.68181818181818,2.13207547169811,"1"
24,0.393333333333333,0.153333333333333,0.233333333333333,0.553333333333333,0.48,0.328358208955224,0.192771084337349,1.28571428571429,2.21739130434783,"1"
25,0.34,0.106666666666667,0.193333333333333,0.533333333333333,0.506666666666667,0.228571428571429,0.2125,1.41379310344828,2.1404958677686,"1"
26,0.333333333333333,0.113333333333333,0.246666666666667,0.506666666666667,0.506666666666667,0.202702702702703,0.184210526315789,1.62162162162162,2.12389380530973,"1"
27,0.313333333333333,0.0466666666666667,0.16,0.486666666666667,0.586666666666667,0.155844155844156,0.178082191780822,2.08333333333333,1.98412698412698,"1"
28,0.266666666666667,0.04,0.146666666666667,0.433333333333333,0.533333333333333,0.188235294117647,0.307692307692308,1.31818181818182,2.1171875,"1"
29,0.326666666666667,0.0266666666666667,0.173333333333333,0.44,0.48,0.19047619047619,0.287878787878788,2.11538461538462,1.9758064516129,"1"
30,0.353333333333333,0.06,0.153333333333333,0.513333333333333,0.493333333333333,0.232876712328767,0.181818181818182,1.65217391304348,2.06299212598425,"1"
31,0.36,0.0466666666666667,0.193333333333333,0.46,0.546666666666667,0.0987654320987654,0.27536231884058,1.82758620689655,2.04132231404959,"1"
32,0.326666666666667,0.08,0.146666666666667,0.446666666666667,0.52,0.156626506024096,0.238805970149254,1.90909090909091,2.015625,"1"
33,0.313333333333333,0.08,0.2,0.453333333333333,0.533333333333333,0.182926829268293,0.25,1.9,2.025,"1"
34,0.233333333333333,0.08,0.153333333333333,0.473333333333333,0.52,0.215189873417722,0.197183098591549,1.91304347826087,2.01574803149606,"1"
35,0.22,0.12,0.22,0.526666666666667,0.48,0.169014084507042,0.164556962025316,2,2,"1"
36,0.133333333333333,0.153333333333333,0.146666666666667,0.56,0.466666666666667,0.318181818181818,0.19047619047619,1.59090909090909,2.0703125,"1"
37,0.0933333333333333,0.146666666666667,0.106666666666667,0.44,0.373333333333333,0.226190476190476,0.393939393939394,1.625,2.04477611940298,"1"
38,0.08,0.106666666666667,0.113333333333333,0.446666666666667,0.426666666666667,0.204819277108434,0.313432835820896,1.47058823529412,2.06766917293233,"1"
39,0.06,0.106666666666667,0.08,0.446666666666667,0.48,0.168674698795181,0.313432835820896,1.66666666666667,2.02898550724638,"1"
40,0.0333333333333333,0.113333333333333,0.0733333333333333,0.466666666666667,0.48,0.1625,0.257142857142857,2.27272727272727,1.97841726618705,"1"
41,0.02,0.153333333333333,0.08,0.54,0.48,0.246376811594203,0.160493827160494,2.5,1.95652173913043,"1"
42,0.02,0.113333333333333,0.06,0.533333333333333,0.44,0.257142857142857,0.275,1.66666666666667,2.02127659574468,"1"
43,0.00666666666666667,0.1,0.06,0.466666666666667,0.453333333333333,0.2125,0.314285714285714,1.11111111111111,2.05673758865248,"1"
44,0.00666666666666667,0.06,0.0333333333333333,0.573333333333333,0.466666666666667,0.390625,0.22093023255814,1.8,2.00689655172414,"1"
45,0.00666666666666667,0.0533333333333333,0.0333333333333333,0.486666666666667,0.4,0.233766233766234,0.342465753424658,0.8,2.04137931034483,"1"
46,0,0.02,0,0.506666666666667,0.52,0.256756756756757,0.210526315789474,NA,2,"1"
47,0,0.0133333333333333,0.0133333333333333,0.546666666666667,0.493333333333333,0.279411764705882,0.231707317073171,1.5,2.00675675675676,"1"
48,0,0.00666666666666667,0.00666666666666667,0.526666666666667,0.426666666666667,0.267605633802817,0.240506329113924,4,1.98657718120805,"1"
49,0,0.0266666666666667,0,0.52,0.413333333333333,0.277777777777778,0.243589743589744,NA,2,"1"
50,0,0.0266666666666667,0.00666666666666667,0.533333333333333,0.466666666666667,0.285714285714286,0.25,0,2.01342281879195,"1"
51,0,0.00666666666666667,0,0.56,0.426666666666667,0.378787878787879,0.214285714285714,NA,2,"1"
52,0,0,0,0.453333333333333,0.493333333333333,0.158536585365854,0.308823529411765,NA,2,"1"
53,0,0,0,0.453333333333333,0.533333333333333,0.134146341463415,0.352941176470588,NA,2,"1"
54,0,0,0,0.553333333333333,0.44,0.432835820895522,0.228915662650602,NA,2,"1"
55,0,0,0,0.546666666666667,0.4,0.382352941176471,0.219512195121951,NA,2,"1"
56,0,0,0,0.553333333333333,0.426666666666667,0.298507462686567,0.228915662650602,NA,2,"1"
57,0,0,0,0.473333333333333,0.466666666666667,0.253164556962025,0.309859154929577,NA,2,"1"
58,0,0,0,0.453333333333333,0.4,0.292682926829268,0.382352941176471,NA,2,"1"
59,0,0,0,0.46,0.506666666666667,0.209876543209877,0.318840579710145,NA,2,"1"
60,0,0,0,0.573333333333333,0.413333333333333,0.390625,0.22093023255814,NA,2,"1"
61,0,0,0,0.433333333333333,0.44,0.152941176470588,0.323076923076923,NA,2,"1"
62,0,0,0,0.486666666666667,0.506666666666667,0.220779220779221,0.246575342465753,NA,2,"1"
63,0,0,0,0.52,0.44,0.263888888888889,0.256410256410256,NA,2,"1"
64,0,0,0,0.5,0.466666666666667,0.36,0.333333333333333,NA,2,"1"
65,0,0,0,0.54,0.413333333333333,0.289855072463768,0.246913580246914,NA,2,"1"
66,0,0,0,0.486666666666667,0.386666666666667,0.311688311688312,0.301369863013699,NA,2,"1"
67,0,0,0,0.52,0.44,0.291666666666667,0.243589743589744,NA,2,"1"
68,0,0,0,0.433333333333333,0.453333333333333,0.188235294117647,0.338461538461538,NA,2,"1"
69,0,0,0,0.506666666666667,0.426666666666667,0.310810810810811,0.223684210526316,NA,2,"1"
70,0,0,0,0.506666666666667,0.426666666666667,0.297297297297297,0.276315789473684,NA,2,"1"
71,0,0,0,0.446666666666667,0.453333333333333,0.192771084337349,0.343283582089552,NA,2,"1"
