"generation","p_c","p_b","p_bh","p_f","p_mono","p_polyg","p_polya","RS_mono","RS_poly","run"
37,1,0.973333333333333,0.98,0.533333333333333,0.48,0,0,1.97959183673469,3,"1"
38,1,0.96,0.98,0.506666666666667,0.346666666666667,0,0,1.97959183673469,3,"1"
39,1,0.993333333333333,1,0.526666666666667,0.346666666666667,0,0,2,NA,"1"
40,1,1,1,0.466666666666667,0.36,0,0,2,NA,"1"
41,1,1,1,0.586666666666667,0.333333333333333,0,0,2,NA,"1"
42,1,1,1,0.5,0.36,0,0,2,NA,"1"
43,1,1,1,0.533333333333333,0.386666666666667,0,0,2,NA,"1"
44,1,1,1,0.426666666666667,0.413333333333333,0,0,2,NA,"1"
45,1,1,1,0.48,0.36,0,0,2,NA,"1"
46,1,1,1,0.54,0.413333333333333,0,0,2,NA,"1"
47,1,1,1,0.493333333333333,0.453333333333333,0,0,2,NA,"1"
48,1,1,1,0.493333333333333,0.386666666666667,0,0,2,NA,"1"
49,1,1,1,0.466666666666667,0.346666666666667,0,0,2,NA,"1"
50,1,1,1,0.586666666666667,0.333333333333333,0,0,2,NA,"1"
51,1,1,1,0.506666666666667,0.386666666666667,0,0,2,NA,"1"
52,1,1,1,0.513333333333333,0.346666666666667,0,0,2,NA,"1"
53,1,1,1,0.546666666666667,0.413333333333333,0,0,2,NA,"1"
54,1,1,1,0.5,0.333333333333333,0,0,2,NA,"1"
55,1,1,1,0.5,0.4,0,0,2,NA,"1"
56,1,1,1,0.573333333333333,0.4,0,0,2,NA,"1"
57,1,1,1,0.54,0.333333333333333,0,0,2,NA,"1"
58,1,1,1,0.42,0.386666666666667,0,0,2,NA,"1"
59,1,1,1,0.506666666666667,0.373333333333333,0,0,2,NA,"1"
60,1,1,1,0.52,0.373333333333333,0,0,2,NA,"1"
61,1,1,1,0.533333333333333,0.36,0,0,2,NA,"1"
62,1,1,1,0.493333333333333,0.373333333333333,0,0,2,NA,"1"
63,1,1,1,0.513333333333333,0.426666666666667,0,0,2,NA,"1"
64,1,1,1,0.513333333333333,0.466666666666667,0,0,2,NA,"1"
65,1,1,1,0.52,0.32,0,0,2,NA,"1"
66,1,1,1,0.486666666666667,0.453333333333333,0,0,2,NA,"1"
67,1,1,1,0.46,0.36,0,0,2,NA,"1"
68,1,1,1,0.52,0.386666666666667,0,0,2,NA,"1"
69,1,1,1,0.446666666666667,0.333333333333333,0,0,2,NA,"1"
70,1,1,1,0.513333333333333,0.346666666666667,0,0,2,NA,"1"
71,1,1,1,0.546666666666667,0.386666666666667,0,0,2,NA,"1"
72,1,1,1,0.56,0.386666666666667,0,0,2,NA,"1"
73,1,1,1,0.506666666666667,0.373333333333333,0,0,2,NA,"1"
74,1,1,1,0.48,0.4,0,0,2,NA,"1"
75,1,1,1,0.526666666666667,0.36,0,0,2,NA,"1"
76,1,1,1,0.54,0.373333333333333,0,0,2,NA,"1"
77,1,1,1,0.48,0.373333333333333,0,0,2,NA,"1"
78,1,1,1,0.513333333333333,0.32,0,0,2,NA,"1"
